Question,A,B,C,D,Answer
Protection of data from unauthorised entities is termed as _____________,Confidentiality,Integrity,Authentication,Availability,1
Which of the following method(s) maintain data confidentiality,Biometric verification,ID and password based verification,2-factor authentication,switching off the phone,4
What happens when there is absence of integrity in a security system?,Database hacking,Data deletion,Data tampering,Data leakage,3
Which of these method is good for protecting confidentiality,Biometric verification,switching off the phone,2-factor authentication,ID and password based verification ,2
_______________ ensures the availability of data,Data clustering, Data backup,Data recovery,Data Altering,2
"Why is confidentiality, integrity, authenticity & availability considered the basic elements of security?",They help understanding hacking better,They are key elements to a security breach,They help understands security and its components better,They help to understand the cyber-crime better,3
Which of the following is not vulnerable in physical layer?,Physical theft of data & hardware,Physical damage or destruction of data & hardware,Unauthorized network access,Keystroke & Other Input Logging,3
"In which method of encryption, same key is used for both encryption and decryption?",Symmetric encryption,Encryption doesn't exist,Asymmetric encryption,Same-key encryption,1
In which method all possible solutions are tested to find the plain text?,brute force,relative frequency,cipher,paired keys,1
(HAPPY)26 divided by (SAD)26. We get quotient  as ________,KD,LD,JC,MC,1
"In _____________ attack, attacker tries to know the characteristics of an encryption algorithm",Man-in-middle attack,Password attack,Brute force attack,Cryptanalysis attack,4
Each letter of plaintext is replaced by some other letter in _______,Substitution,Transformation,Transposition,Replacement,1
Which cipher is prone to attacks based on frequency analysis?,Monoalphabetic,Polyalphabetic, Caesar,Hill,1
RSA stands for_______,"Rivest, Shamir, Adleman","Roger, Shamir, Adrian","Robert, Shamir, Anthoney","Rivest, Shaw, Adleman",1
Use Vignere cipher technique to encrypt the message “cryptography” using the keyword “LUCKY”,nlazeiibljji,nlazeiibljii,olaaeiibljki,mlaaeiibljki,1
The best multiple-letter encryption cipher is _____________,Playfair Cipher,Vignere Cipher,Caesar Cipher,Hill Cipher,1
How many 3 X 3 affine cipher transformations are possible?,168,840,1024,1344,4
"If the block size is ‘s’, how many affine transformations are possible ?",2s(2s-1)(2s-1)(2s-12).......(2s-1(s-1)),2ss(2s-1)(2s-2)(2s-22).....(2s-2(s-2)),2ss(2s-1)(2s-2)(2s-22).....(2s-2(s-1)),2s(2s-1)(2s-2)(2s-22).....(2s-2(s-3)),3
During _________ phase inverse initial permutation is performed,Encryption,Cryptography,Decryption,Security attack,3
How many number of tests are need to crack the DES algorithm?,2.8×1014,4.2×109,1.84×1019,7.2×1016,4
How many number of tests are required to break the key using Middle attack ?,2112,2112,2111,2111,4
What is the key size in DES algorithm?,128 bits,56 bits,132 bits,28 bits,2
"Assume for SDES, the10-bit input key, K is 1010000010. What will be the value of K1?",10100100,1011011,1101000,10100111,1
How many keys are used in Asymmetric key cipher?,1,2,3,4,2
What is 11 mod 7 and -11 mod 7?,4 and 5,4 and 4,5 and 3,4 and -4,4
In DES Algorithm the round input 32 bits are expanded to 48 bits using _________,Scaling of the existing bits,Duplication of the existing bits,Addition of zeros,Addition of ones,1
"In DES, after the 48 bit XOR operation, how many number of unique substitution boxes are used?",8,4,6,12,1
What is the size of the key in the SDES algorithm?,24 bits,16 bits,20 bits,10 bits,4
What does the term Keyspace mean with respect to encryption?,The range of values not allowed in a key,The range of allowable values in a key,The space between keys on a keyboard,The length of the key that has been used,2
Caesar cipher is also called _________,shift cipher,leap cipher,rotation round cipher,jump cipher,1
Calculate the GCD of 102947526 and 239821932 using Euclidean algorithm.,11,12,8,6,4
How many iterations are used in DES algorithm,12,18,9,16,4
An effective key length is ______ bits in Data Encryption Standard Algorithm?,168,128,56,64,3
"Encrypt the message ""Hello"" using Caesar cipher technique with key size of '1'?",jgnnqx,jgnnq,Ifmmp,Ifmmpx,3
"For the group Sn of all permutations of n distinct symbols, what is the number of elements in Sn?",n,n-1,2n,n!,4
Find the inverse of (x2+1) modulo (x4 + x + 1),x4 + x3 + x + 1,x3 + x + 1,x3 + x2 + x,x2 + x,2
A slight change in an input string should cause the hash value to change drastically. This feature is called ___________,Strong Collision Property,Avalanche Effect,Non-Repudiation Property,Disclosure Effect,2
"In MD5 algorithm, how appending of padded bits done? ",A single “1” bit is appended to the message and then “0” bits are appended ,A single “0” bit is appended to the message and then “1” bits are appended,A single “1” bit is appended to the message then “0” bits are appended and last bit is set to “1”,A single “0” bit is appended to the message then “1” bits are appended and last bit is set to “0”,1
A digital signature scheme consists of which of the following typical algorithms?,"Key generation, Signing and Signature verifying algorithm",Signature Verifying algorithm,Key Generation algorithm,Signing algorithm,1
"Message Authentication Code, MAC = C(K,M), where ‘C’ and ‘K’ represents","MAC Code, Shared Secret Key","MAC Function, Shared Secret Key","MAC Code, MAC Constant","MAC Function, MAC Constant",2
"When a hash function is used to provide message authentication, the hash function value is referred to as",Message Field,Message Digest,Message Score,Message Leap,2
The responsibility of a certification authority for digital signature is to authenticate the,Hash function used,Private keys of subscribers,Public keys of subscribers,Key used in DES,3
Which among the following is not a requirement of hash function ‘H’?,H can be applied to a block of data of only fixed size,H Produces a fixed length output,Weak Collision Property,Strong Collision Property,1
"In MD5 algorithm, appending of padding bits is done so that the length of the message is congruent to ",512 modulo 448,448 modulo 512,446 modulo 510,510 modulo 446,2
Certification of Digital signature by an independent authority is needed because,it gives confidence to a business,it is safe,the authority checks and assures customers that the public key indeed belongs to the business which claims its ownership,Private key claimed by a sender,3
SHA-1 Produces how many bits of hash?,128,160,150,112,2
Which among the following is true when comparing MD5 and SHA?,MD length is 160 bits and AHA length is 128 bits,Number of iterations in SHA is 80,MD5 is slower than SHA,Number of iterations in SHA is 16,2
Disclosure Attack' in the network refers to,Release of message contents to any person or process possessing the appropriate cryptographic key,Release of message contents to specific  person or process not possessing the appropriate cryptographic key,Release of message contents to any person or process not possessing the appropriate cryptographic key,Release of message contents to specific person or process possessing the appropriate cryptographic key,3
Which among the following are the 3 versions of SHA?,"SHA-526, SHA-834 and SHA-152","SHA-634, SHA-269 and SHA-152","SHA-364, SHA-269 and SHA-512","SHA-256, SHA-384 and SHA-512",4
One way property of hash function represents ________,It is easy to generate a message given a code but impossible to generate a code given a message,It is easy to generate a message given a key but impossible to generate a code given a message,It is easy to generate a code given a message but impossible to generate a message given a code,It is easy to generate a code given a message but impossible to generate a message given a key,3
"In HMAC, K+ refers to ",K padded with zeros on the left ,K padded with ones on the left,K padded with zeros on the right,K padded with ones on the right,1
