Question,A,B,C,D,Answer
The term “Entrepreneur” has been derived from the word “entreprendre” which means:,To give,To undertake,To choose,To decide,2
Entrepreneurship is a creative activity – Said by:,Frederick Harbison,B. F. Hoselitz,B. Higgins,Joseph,4
What is the hallmark of a successful entrepreneur?,Risk bearing capacity,Persistence,Flexibility,Self-confidence,3
Which type of entrepreneurs utilizes a chance to introduce a new technique or new product?,Innovative entrepreneur,Instigated entrepreneur,Initiative entrepreneur,Fabian entrepreneur,1
"In which state of India, the standard of education is highest?",Tamilnadu,Andra Pradesh,Kerela,Karnataka,3
Seed Capital Scheme” is being operated by?,IDBI,SIDC,ICICI,IFCI,1
In 1995 – 96 periods what percentage of the total entrepreneurs were women entrepreneurs?,10%,11.20%,13%,9%,2
Why the majority of women are unaware of technological developments?,Low-risk bearing ability,Low mobility,Lack of education,Low need for achievement,3
What is the analytical study of the end products and by-product can throw light on new product ideas?,Emerging technologies,Market characteristics,Social and economic trends,Product profile,4
What can be defined as an attractive project idea which an entrepreneur accepts as a basis for his investment decision?,Possibility,Business,Opportunity,Notion,3
What is two-way exchange process in which the needs and wants of the buyer and seller are satisfied?,Marketing,Selling,Producing,Accounting,1
What provides all the necessary information of the unit proposed to be set-up for the manufacture of a product or rendering a service?,ProjectDescription,Project Appraisal,Project Implementation Schedule,Project Report,4
Which statement gives a projection of future sources of cash and their applications?,Cash flow statement,Fund flow statement,Income statement,Balance sheet,1
"In long term capital, the repayment of money is arranged for what time period?",Within 1 year,More than 2 years,More than 7 years,More than 5 years,4
Ownership capital is also known as?,Debt,Equity,Loan,Mortgage,2
To whom does the company pay interest?,Shareholder,Customer,Debenture holder,Creditor,3
When was Small Scale Industries Board constituted?,1958,1960,1953,1954,4
IPR stands for?,Industrial Policy Resolutions,Industrial Protection Resolutions,Independent Policy Reforms,Income Plan Rewards,1
National Programme for Rural Industrialization has been announced with a mission to set up how many rural clusters every year?,150,200,250,100,4
Which of the following is not a source of idea for an entrepreneur?,Cost of the project,Product profile,Imports and exports,Emerging technologies,1
"While doing a market survey for raw material availability, which of the following should be considered?",Existing brand loyalties and consumption pattern,Leading suppliers and time for order execution,Market strategy and advertising,Major manufacturers and machinery delivery schedules,2
"22. On the basis of permanence, the financial needs are classified into :",Fixed & working capital,Short term & fixed capital,Long term & fixed capital,Long term & short term capital,1
"On the basis of the organizational set – up, industrial estates are classified into:",Private industrial estates & functional industrial estates,Functional industrial estates & the workshop bay,Municipal industrial estates & private industrial estates,Functional industrial estates & Municipal industrial estates,3
The IPR 1956 for SSI aimed at :,Protection plus Growth,Protection plus Development,Protection plus Promotion,Promotion plus Development,2
What type of entrepreneurial business actually produces the products they sell?,Manufacturing,Wholesaling,Retailing,Service,1
Which one of the following gives suggestions for new product and also help to market new products?,Existing products and services,Federal government,Distribution Channels,Consumers,3
Which of the following is used by entrepreneurs to acquire experience in an international market before making a major commitment?,Merger,Minority Interest,Joint venture,Majority interest,2
The entrepreneur was distinguished from capital provider in:,Middle ages,17th century,18th century,19th and 20th century,3
What is the process by which individuals pursue opportunities without regard to resources they currently control?,Start-up management,Entrepreneurship,Financial analysis,Feasibility planning,2
Having less than 50 percent of equity share in an international venture is called:,Joint Venture,Majority interest,Minority interest,Exporting,3
The activity which occurs when the new venture is started is called:,Motivation,Business skills,Departure point,Goal orientation,3
Which one of the following is the next stage to the Concept Stage of Product Planning and Development Process?,Idea Stage,Product Planning Stage,Product Development Stage,Test Marketing Stage,3
Why should an entrepreneur do a feasibility study for starting a new venture,To identify possible sources of funds, To see if there are possible barriers to success,To estimate the expected sales,To explore potential customers,2
A performance and credit rating scheme has been launched by the MSME Ministry to assess Credit worthiness and capabilities of industries in the sector. What is it called?,Performance and Credit Rating Scheme,Zero Defect Zero Effect Certification,Performance and Economy Rating Scheme,Performance and Zero Defect Rating Scheme,1
"A Micro Enterprise is an enterprise where investment in plant and machinery does not exceed (According to MSMED Act, 2006):",Rs. 15 Lakh,Rs. 20 Lakh,Rs. 25 Lakh,Rs. 30 Lakh,3
