Question,A,B,C,D,Answer
What is NPD?,National Policy development,New Product Development,New Poilcy Design,National  Product  Deployment,2
Which of the following does not affects the decisions to be taken in product development?,Political aspects,Environmental aspects,Personnel aspects,Social aspects,3
Which of the following issues have impact in designing and producing of products by an organization?,"Social, Technical, Political, Economical and Environmantal Trends",Social and Technical Trends,Market and Social Trends,Customer Specific Needs,1
Why are global trends important?,To empower the workforce and increasing productivity in the digital workspace,To create new product design,To increase workforce,To get success in global level for a company,1
What are the widely used tools for business analysis that fit into the strategic planning process?,"PESTLE,  SWOT, and Ansoff","PESTLE, Porter 5 Forces, Boston Box, SWOT, Ansoff","Porter 5 Forces, Boston Box,and  SWOT","PESTLE, Porter 5 Forces, and  Ansoff",2
What you mean by PESTLE Analysis?,"It is Political, Economic,Social,Technological, Legal and Environmental issues","It is Political,Legal and Environmental issues","It is, Legal and Environmental issues","It is Political, Economic, Social, Technological, Legal and Environmental issues",4
List out the technological factors for NPD,"New discoveries, ICT developments, Speed of technology transfer, Rates of Obsolescence, R&D and Patents",Research &Development and Patents and licenses,"New discoveries,ICT developments","Research & Development, New Discoveries, ICT developments and Patents",1
Development of a new product starts with which among the following activities?,Idea Screening,Idea Generation,Concept Development and testing,Marketing Strategy Development,2
In the year 2020 What kind of trend is breakout moment of Artificial intelligence (AI) in manufacturing?,Global trend,Economy trend,Technical trend,Political trend,3
Sand Mining Ban is an example for which among the following trends?,Technical trends,Political factors,Economic trends,Global issues,2
Which among the following term is used to specify the condition or capability to which a system must conform?,Requirement,Specification,System Needs,Scope of Software,1
what are the two fields of requirements?,Process and Systems,Software and Process,Product and Process,User Needs and Systems,3
Which among the following best defines the Product requirements?,Properties of a system or product,The capability to which a system must conform,The process to achieve a maximum sales price requirement,Specify the methedologies,1
Which among the following term is used to represent the activities or specification of the methedologies that must be followed in an organization?,Product requirements,System engineering,Process requirements,Requirements engineering,3
List out the characterization of requirements,"Complete, unitary, atomic , traceable and verifiable","Atomic, timeliness, non-traceable and verifiable","Cohesive, complete, non-verifiable , non-atomic and verifiable","Non-atomic, unitary, non-traceable and non-verifiable",1
Users and customers can be best categorized under which among the following?,System requirements,Stakeholders,Software requirements,Validation process,2
"Debuggers, System Managers, Business Analysts, Software Testers are examples of which among the following?",Software Developers,Project Owners,Stakeholders,Product Supervisors,3
"Techniques like Interviews, Questionnaires, Workshops, prototyping, use cases and analysis of existing systems  are done to achieve which of the following?",To neglect the stakeholders,To develop the software,To elicit the requirements from stakeholders,To perform testing,3
What do you mean by the term 'usecase' ?,Description of a system in terms of a sequence of actions,Document for system needs,Process flow diagram for software,Method for inventory flow,1
Which among the following specifies the requirements types?,"Linear, cohesive, atomic , physical and functional","Dynamic, inventory , functional and physical","Systemic, process, product oriented and technical ","Functional, Performance, Physical, Economical ,Behavioral and  Technical ",4
Which among the following shows the various types of product development?,"New Product Development,new product platform, Breakthrough,Derivatives of the existing product platform","Consumer product, new product platform, new product  initiative","New Product development, Breakthrough, Existing platform","Marketed product, new product platform, derivatives of the existing platform",1
"Which among the following utilizes the Brain storming, Idea screening, concept development and testing methods",Concept generation,Product development,Idea generation,New product design,3
Successful product development contains which among the following characteristics?,"Product quality, product cost, manufacturing cost, development time","Engineer salary, meeting cost, product cost","staff selection  interview cost , development cost, Developer wages","process flow, idea screening, product quality",1
What are the two approaches of carrying acceptance tests on products?,beta and component testing,alpha and beta testing,product and alpha testing,product design test and cost analysis,2
"Consider the characteristics: ""the consumer need, market potential, effect of advertising, worthiness of a product to its price"". Which among the following acquires these characteristics?",Consumer analysis,Product survey,Test marketing,Software development cost analysis,3
what are the methods of product launch?,Stakeholders survey,Immediate launch,Rolling launch,Immediate launch and rolling launch,4
"For Re engineering, which of the following is not required ?",Design Documentation,Idea Screening,Product Relaease Survey,Physical product analysis,1
"What you call the means of interactions among people in which they create, share, and/or exchange information and ideas in virtual communities and networks?",Internet,Social Media,Organization portal,World Wide Web,2
For which purpose the SWOT analysis is another widely used tool?,Project Planning,Project analysis,Consumer meeting,Project cost estimation,1
"If a new product has higher quality, new features, and higher value in use than its competition, then it is called as which of the following?",unique superior product,synergistic product,positioned product,pre-launch product,1
What is Design porting or migration?,"Process of getting /taking a design from a hardware prototype to a production cell-based, application-specific integrated circuit. ",Process of reducing project time,Process of planning software,Process of execution of old projects,1
What is meant by Design homologation ?,"It is design migration.

",It is the certification provided for a product or specification to indicate that it meets regulatory standards.,It is process modification cost ,It is the act of project verification,2
What is DFR  concept ?,Digital for reuse,Design for Reuse,Design Finished reuse,Design for remodel,2
Which among the following are various Software Product Development Methedologies?,"Waterfall model, V-Model","Spiral model, Resue Model","Online model, CoComo model","Waterfall model, V model, Spiral model",4
Which among the following well suits for waterfall model?,It is a iteration method,It is a sequential development method,It is a non-linear method,It is a concurrent method,2
"In which among the following methods, the  iterative approach to software product development is performed in a collaborative environment by self-organizing teams?",Agile Methedology,Spiral Method,Sprint Method,Waterfall Method,1
What is the reason for the naming of V-Model?,The stages turn back upwards after the coding phase is done so that it makes a V shape,It is a non-linear variation model,It is an iterative variation model,It is modified version of spiral model,1
What is the biggest advantage of using the V Model?,Testing of particular phase,Testing of each and every phase ,Testing done only at the end of product,Testing done initially,2
What is meant by DMADV approach?,"Design, Analyze, Verify","Define, Measure, Analyze, Design, Verify","Design, Measure, Define, Verify","Design, Measure, Analyze, Define, Validate",2
"Under which situation, the DMADV is used ?",When the current process needs to be replaced,When the system cost is to be reduced,When the product design needs to be modified,When the system is not responding,1
"What term is used with respect to a product supplied to customers, indicating that the product is in the end of its useful life, and a vendor will no longer be marketing, selling, or sustaining it?",EOL,ELO,EEL,ELE,1
Which type of maintenance is having the main drawback that it depends heavily on information and the correct interpretation of the information?,Predictive Maintenance,Preventive Maintenance,Corrective Maintenance,Improvement Maintenance,1
What is reduced when maintenance activity is performed in a product?,Unavailability,Cost,Repair,Non-Working,1
What is an action of retaining of someone or something in life or existence?,Sustenance,Sustainability,Subsequence,Substance,1
What can be defined as a comprehensive inspection and restoration of an item or a piece of equipment to an acceptable level in terms of durability time or usage limit?,Maintenance,Overhaul,Repair,Replacement,2
What is the name for planned maintenance?,Reactive,Proactive,Active,Stable,2
What are the two types of unplanned maintenance?,Emergency and Breakdown,Predictive and Preventive,Deferred and Remedial,Statistical and Condition,1
Which type of maintenance is carried out at predetermined intervals or according to prescribed criteria?,Planned,Unplanned,Emergency,Breakdown,1
Which type of maintenance is carried out when a machine or equipment is not required for definite period of time?,Routine Maintenance,Running Maintenance,Opportunity maintenance,Window maintenance,4
Which type of maintenance activities are carried out when the production line is in total stoppage situation?,Running Maintenance,Opportunity maintenance,Shutdown preventive,Window maintenance,3
How many elements are defined for preventive maintenance?,5,6,7,8,3
What is the process of periodical evaluation and adjustment of the parameters of an item by comparison to a standard?,Inspection,Calibration,Testing,Adjustment,2
Which of the following would be a key success factor in developing new products?,a well-defined product concept,a product priced well below market or industry standards,a product that appeals to the late majority,a product that can be sold over the internet with a minimum of explanation,1
What is OEM?,Original Enhancement Manufacturer,Original Equipped Machinery,Original Equipment Manufacturer,Original Enhanced Machinery,3
Which among the following represents the course of a product's sales and profits over its lifetime?,the sales chart,the dynamic growth cuve,the adoption cycle,the product life cycle,4
Which maintenance is performed to eliminate the source of failure without interrupting the continuity of the production process?,Deferred maintenance,Shutdown corrective maintenance,Remedial maintenance,Preventive Maintenance,3
Which product concept begins with understanding the goal of the product which converts the product vision into form and function?,Industrial Design,Conceptualization,User Interface Design,requirements gathering,2
What is the space where interaction between humans and machines occurs?,Product design,Product testing,Usability inspection,User interface,4
Which concept generation technique plays a very important role in concept generation?,Brainstorming,Collaborative Sketching,Functional Decomposition,Concept Expansion,1
What provides guidance on a clear route through the development process to design verification?,SRS,PRS,DRS,DDS,2
Which testing occurs with items that closely resemble the final product?,Proof testing,Acceptance testing,Prototype testing,System testing,3
What is a form of non-destructive testing that occurs with production units?,Proof testing,Acceptance testing,Prototype testing,System testing,2
What is FMEA?,Failure Mean and Error Analysis (FMEA),Failure Modes and Effects Analysis (FMEA),Failure Mean and Effects Analysis (FMEA),Failure Modes and Error Analysis (FMEA),2
Which among the following is a type of error in specification ?,Human error in interpreting design functionality,Unspecified functionality,Errors remain from bugs in synthesis program,Usage errors of synthesis program,2
"Reviews, walkthroughs, or inspections are referred to as",Static testing,Dynamic testing,Unit testing,Integration testing,1
Which testing is used to evaluate how system behaves under unfavorable conditions?,Performance Testing,System Testing,Stress Testing,Integration testing,3
What is an early release of the model or sample to represent a product which is built to test the concept of the product or process or it is the mode or can act as a thing to be replicated or learned from?,Increment,Prototype,Sub-system,Module,2
Which prototype class is used to answer specific questions of feasibility about a product?,Industrial design prototypes,Design of experiment (DOE) experimental prototypes,Proof-of-concept models,Preproduction prototypes,3
"Which prototype class is the first full-scale functional prototypes of the product constructed
from the actual materials as the final product?
",Alpha prototypes,Beta prototypes,Proof-of-concept models,Industrial design prototypes,2
Which type of prototypes are used by the architects to provide three-dimensional illustrations of future buildings?,Rapid Prototype,Virtual Prototype,Feasibility prototype,Mock-up,4
Which type of prototypes are used to develop one entire layer of the design at the same time?,Feasibility prototype,Virtual prototype,Horizontal prototype,Vertical prototype,3
"From what data, rapid prototyping technology can automatically construct physical models?",Computer-Aided Manufacturing (CAM) ,Computer-Aided Design (CAD) ,Stereolithography (SL),Selective Laser Sintering (SLS),2
