Question,A,B,C,D,Answer
The Constituent Assembly of India was passed and adopted on ,24.01.1950,26.01.1950,26.11.1949,29.08.1947,2
"The  number of The Indian Constituent Assembly, after the partition is",298,299,300,301,2
The chairperson of the Provincial Constitution Committee of the Constituent Assembly was, Dr. R Ambedkar,Dr. Rajendra Prasad,Sardar Vallabhbhai Patel,Pt. Jawahar Lal Nehru,3
"""Liberty, equality and fraternity"" enshrined in Preamble of Constitution of India is inspired by",Russian revolution,French revolution,Irish revolution,American revolution,2
Equal Justice and free legal aid is under,Article 39,Article 39 A,Article 43,Article 43 A,2
How much time it took for Constituent Assembly to finalize the constitution?,2 Years 11 Months 18 Days,2 Years 9 Months 8 Days,2 Years 7 Months 18 Days,2 Years 5 Months 20 Days,1
Right to Constitutional Remedies comes under,Fundamental Rights,Legal Rights,Constitutional Rights,Natural Rights,1
The theory of Fundamental Rights implies,sovereignty of the people,equality of opportunity for all,limited government,equality of all before law,3
Right to education is a fundamental right emanating from right to ,freedom of speech and expression under Article 19 1) ,culture and education under Articles 29 and 30,life and personal liberty under Article 21,equality before law and equal protection of law under Article 14,3
Who is competent to prescribe conditions as for acquiring Indian citizenship?,Parliament,State Legislatures,President,Attorney General,1
The enforcement of Directive Principles depends most on,the Courts,an effective opposition in Parliament,resources available to the Government,public cooperation,3
Which cannot be termed ‘Gandhian’ among the Directive Principles?,Prevention of cow slaughter,Promotion of cottage industries,Establishment of village panchayats,Uniform civil code for the country,4
The right to constitutional remedies in India is vailable to ,citizens of India only,all persons in case of infringement of any fundamental right,any person for enforcing any of the fundamental rights conferred on all persons,an aggrieved individual alone,2
"Under the Constitution of India, which is not a fundamental duty",To vote in public elections,To develop the scientific temper,To safeguard public property,To abide by the Constitution and respect its ideals,1
"According to the Citizenship Act, 1955, Indian citizenship cannot be acquired by:","children of the diplomatic personnel or alien enemies born in India on or after 26th January, 1950",children born of Indian citizens abroad,incorporation of territory not forming part of India at the commencement of the Constitution,naturalization,1
The purpose of Directive Principles of State Policy is to ,lay down positive instructions which would guide State Policy at all levels,implement Gandhiji’s idea for a decentralized state,check the use of arbitrary powers by the government,promote welfare of the backward sections of the society,1
Separation of the Judiciary from the Executive is enjoined by:,Preamble,Directive Principle,Seventh Schedule,Judicial Decision,2
Details on how citizenship may be acquired and terminated are enumerated in:,Part II of the Constitution,"the Citizenship Act, 1955",Schedule I of the Constitution,various enactments by Parliament,2
"Fundamental duties have been added in the Constitution by 42nd Amendment Act, 1976 in accordance with the recommendations of:",Santhanam Committee,Sarkaria Committee,Swaran Singh Committee,Indira Gandhi Committee,3
