Question,A,B,C,D,Answer
"Name the process through which the requirements can be analyzed, modeled and gathered.",Elicitation process,Interviewing,Meeting,Analysis,1
What is the the analyst’s primary focus throughout evaluation and solution synthesis?,"“Not what, not “how”","“What, also “how”","“What, not “how”","“What, not “when”",3
The overall role of Software in a larger system is identified during,Requirements engineering,Process engineering,System engineering,Production Engineering,3
"Many software projects digress from the original scope because of the nature of the software product or technology used, it’s happen in",Product scope changed toward the end of the project life cycle,Research-oriented software development,Defined scope,Fuzzy users,2
Which of the following symptom is not exhibited when projects destined for trouble frequently?,Protracted integration and late design breakage,Late risk resolution,Non-functional decomposition,Adversarial stakeholder relationships,3
Which problems are associated with defined scope?,Technology-related problems,Product-related problems,Process-related problems,People-related problems,3
"Name the process in which a series of predictable steps , will be followed to develop a product.",Software design,Software process,Software Schedule,Framework,2
What is stated in the introduction of the software requirements specification?,Goals,Objectives,Design,Goals and Objectives of the software,4
Which activity produces more expenditures for a conventional software project?,Design,Code and Unit Testing,Integration and Test,Deployment,3
What is the success of a software project that meets all the given objectives?,Project fundamental purpose,Project quality,Project requirement,Project management myth,4
Which is not an effective software project management focus?,People,Product,Process,Popoularity,4
What is the abbreviation of PM-CMM?,Product management capability maturity model, Process management capability maturity model,People management capability maturity model,Project management capability maturity model,4
Which is not a project manager’s activity?,Project design,Project management,Project planning,Project control,1
Which one of the following is not considered as a risk in project management?,Staff turnover,Testing,Product competition,Specification delays,3
Which one of the following is not an approach to software cost estimation?,Analytical,Critical,Empirical,Heuristic,2
What is the process each manager follows during the life of a project?,Project Management,Project Management Life Cycle,Manager life cycle,Cost estimation,2
Which of the following is the sub-process of process improvement?,Process introduction,De-processification,Process analysis,Process distribution,3
Which model is presented as the source of the conventional software process?,Spiral model,Prototyping model,Waterfall model,Incremental model,3
Which software development life cycle phase focuses on risk resolution period?,Testing,Integration,Requirements,Design-coding,2
How many times finding and fixing a software problem after delivery costs is more than finding and fixing the problem in early design phases?,10,25,75,100,4
"Which stage is driven by more predictable but larger teams during construction, test and deployment activities?",Engineering,Production,Coding,Testing,2
Which phase will achieve concurrence among stakeholders on the life-cycle objectives for the project?,Inception,Elaboration,Construction,Transition,1
Which artifacts capture the information necessary to synchronize stakeholder expectations?,Management,Planning,Operational,Requirements,1
"Which set includes user deliverables and language notations, executable software and the build scripts, installation scripts and executable target-specific data necessary to use the product in its target environment?",Requirements,Design,Implementation,Deployment,4
Which is a human-readable representation of an architecture and one of the components of an architectural baseline?,Architecture unit,Architecture description,Tangible artifact,Engineering set,2
Which view addresses the run-time collaboration issues involved in executing the architecture?,Usecase,Design,Process,Component,3
Which stage is driven by less predictable but smaller teams during design and synthesis activities?,Engineering,Production,Coding,Testing,1
Which phase contains an executable architecture prototype built in one or more iterations?,Inception,Elaboration,Construction,Transition,2
"Which phase contains the resource management, control and process optimization?",Inception,Elaboration,Construction,Transition,3
Which testing is used to validate the new system against user expectations?,Alpha,Beta,User,System,2
How many sets are having the artifacts of the process?,Three,Four ,Five ,Six,3
Which set contains the work breakdown structure?,Requirements,Design,Implementation,Management,4
Which set contains the spreadsheet and defect tracking tools?,Design,Implementation,Deployment,Management,4
"When constructing precedence networks, a network should not contain",Requirements,Dangles,Activities,Lables,2
What is the amount of time an activity can be delayed without delaying connected successor activities?,Total Float,Free Float,Balance Float,Network Float,2
"What is the name of project management technique which is used to manage uncertain (i.e., time is not known) activities of any project?",CPM,PERT,Forward Pass,Backward Pass,2
Network diagrams are preferred technique for showing ,Activity resource estimating,Activity listing,Activity attributes,Activity sequencing,4
What is the he main advantage of using fast tracking ,Shortens project finish time,Reduce the cost,Lengthens project finish time,Increase the cost,1
Which of the following is not true about the critical path?,The critical path can change in a project,The critical path can be more than one,The critical path is the shortest path in the network diagram,The critical path represents the shortest time it takes to complete the project,2
What is the use of PERT analysis tool?,Evaluating schedule risk on a project,Developiong and controlling project schedules,Displaying the project information,Accounting the risk constraints,2
What is the main output of activity sequencing?,Project schedule network diagram, Project scope management plan,Project management plan,Updates to activity list,1
What are the two attitudes labelled  by Donald McGregor in organizational behaviour?,People and Job,Theory X and Theory Y,Theory Y and Theory Z,Theory U and Theory V,2
Which of the option is not a notable challenge while scheduling a project?,Deadlines exist.,Independent activities.,Too many workers may be required.,Costly delay,2
An organization is certified to a stringent environmental standard and uses that as the key differentiator with its competitors. Alternative method is available but involves lot of risk. What should the project team do?,Drop the alternative approach,Work out a mitigation plan,Procure an insurance against the risk,Plan all precautions to avoid the risk,1
Which is the objective of project manager behind the study of the work processes on a project?,Quality control,Quality planning,Checking adherence to processes,Quality assurance,4
Which of the following is NOT an input to project plan execution?,Work authorization system,Project plan,Corrective action,Preventive action,1
What are the two stages of life-cycle?,Engineering and Management,Engineering and Production,Engineering and Manufacturing,Engineering and Design,2
The following phase achieves concurrence among stakeholders on the life-cycle objectives for the project.,Inception,Elaboration,Construction,Transition,1
"The activities resource management, control, and process optimization is performed in which phase of the life cycle?",Inception,Elaboration,Construction,Transition,3
Which phase is entered when a baseline is mature enough to be deployed in the end-user domain?,Inception,Elaboration,Construction,Transition,4
Which testing is performed by Testers  who are usually internal employees of the organization?,Alpha Testing,Beta Tetsing,System Testing,Unit Testing,1
"Which process focuses on organizational economics, long-term strategies, and software ROI?",Meta process,Macro process,Micro process,Mini Process,1
